Plant_ID,above_percent_N,above_percent_C,below_percent_N,below_percent_C,Accession,Population,Tray,Ploidy,Treatment,rand_placement_within_tray,Placement,randomized_tray_layout,flow_fresh_tissue_weight,DNA_content,FLOW,flow_ploidy,finalized_ploidy,leaf_1_chlorophyll,leaf_1_fresh_mass,leaf_1_dry_mass,leaf_1_area_cm,leaf_1_area_m,leaf_1_SLA,leaf_1_perimeter_cm,leaf_1_DMC,leaf_2_chlorophyll,leaf_2_fresh_mass,leaf_2_dry_mass,leaf_2_area_cm,leaf_2_area_m,leaf_2_SLA,leaf_2_perimeter,leaf_2_DMC,leaf_3_chlorophyll,leaf_3_fresh_mass,leaf_3_dry_mass,leaf_3_area,leaf_3_area_m,leaf_3_SLA,leaf_3_perimeter,leaf_3_DMC,avg_leaf_dry_mass,avg_chlorophyll,log_avg_chlorophyll,avg_DMC,arcsine_avg_DMC,est_flo_dry_leaf_weight,avg_SLA,log_avg_SLA,leaf_curl,whorled_leaf,tick_stem,thick_leaf,Sum,aboveground_dry_mass,total_aboveground_biomass,belowground_dry_mass,total_biomass_g,log_Total_biomass_g,total_biomass_avg_ploidy,total_biomass_SD_ploidy,total_biomass_N_ploidy,root_to_shoot_raio,rootshoot_avg_ploidy,rootshoot_SD_ploidy,rootshoot_N_ploidy,rhizome_weight,fine_roots_weight,Died,normalized_aboveground_mass,arcsine_normalized_aboveground_mass,normal_above_mass_avg_ploidy,normal_above_mass_SD_ploidy,normal_above_mass_N_ploidy,normalized_belowground_mass,arcsine_normal_beloground_mass,normal_below_mass_avg_ploidy,normal_below_mass_SD_ploidy,normal_below_mass_N_ploidy,normalized_rhizome_mass,arcsine_normal_rhizome_mass,normal_rhizome_mass_avg_ploidy,normal_rhizome_mass_SD_ploidy,normal_rhizome_mass_N_ploidy,normalized_fine_roots_mass,arcsine_normal_fine_root_mass,normal_fineroot_mass_avg_ploidy,normal_fineroot_mass_SD_ploidy,normal_fineroot_mass_N_ploidy,normalized_avg_leaf_dry_mass
260,0.359,44.725,0.859,34.892,Cheney2-2018,Cheney,24,2x,Low,0.517681898,9,NA,NA,NA,,,2x,39.4,0.036,0.0144,1.59,0.0159,1.104166667,5.31,0.4,39.6,0.0313,0.0138,1.45,0.0145,1.050724638,5.13,0.440894569,NA,NA,NA,NA,NA,NA,NA,NA,0.0141,39.5,1.596597096,0.420447285,0.705505926,0.012854338,1.077445653,0.032395373,0,0,0,0,0,0.0743,0.087154338,0.0793,0.166454338,-0.778704882,NA,NA,NA,0.909880126,NA,NA,NA,0.0375,0.0418,0,0.523593071,0.808999998,NA,NA,NA,0.476406929,0.761796328,NA,NA,NA,0.225287009,0.494559622,NA,NA,NA,0.25111992,0.524890985,NA,NA,NA,0.084707916
282,0.496,40.588,0.86,32.965,CheneyA-2018,Cheney,22,2x,Low,0.498207138,10,NA,NA,NA,,,2x,38.6,0.0347,0.0126,1.39,0.0139,1.103174603,4.8,0.363112392,36.6,0.0326,0.0128,1.32,0.0132,1.03125,4.91,0.392638037,NA,NA,NA,NA,NA,NA,NA,NA,0.0127,37.6,1.575187845,0.377875215,0.662025289,0.010705066,1.067212302,0.028250823,0,0,0,0,0,0.0637,0.074405066,0.0782,0.152605066,-0.816431049,NA,NA,NA,1.051003705,NA,NA,NA,0.0472,0.031,0,0.48756616,0.772963042,NA,NA,NA,0.51243384,0.797833285,NA,NA,NA,0.309295106,0.589737717,NA,NA,NA,0.203138735,0.46755959,NA,NA,NA,0.083221353
280,0.733,44.809,0.864,26.815,CheneyA-2018,Cheney,8,2x,Control,0.806393476,18,NA,0.0395,0.9,Y,2X,2x,42.8,0.0758,0.0246,2.85,0.0285,1.158536585,7,0.324538259,45.7,0.0901,0.0333,3.29,0.0329,0.987987988,7.61,0.369589345,NA,NA,NA,NA,NA,NA,NA,NA,0.02895,44.25,1.645913275,0.347063802,0.62997086,NA,1.073262287,0.030705869,0,0,0,0,0,0.2067,0.2067,0.1466,0.3533,-0.451856363,NA,NA,NA,0.709240445,NA,NA,NA,0.0767,0.0699,0,0.585055194,0.870869008,NA,NA,NA,0.414944806,0.699927319,NA,NA,NA,0.217095952,0.484691671,NA,NA,NA,0.197848854,0.460953219,NA,NA,NA,0.081941693
221,0.557,45.46,0.872,40.5,Blue2-2,Blue,17,2x,Low,0.18058548,5,NA,NA,NA,,,2x,43.8,0.0446,0.0144,1.55,0.0155,1.076388889,5.57,0.322869955,41.1,0.0471,0.0146,1.62,0.0162,1.109589041,5.62,0.309978769,NA,NA,NA,NA,NA,NA,NA,NA,0.0145,42.45,1.627877695,0.316424362,0.597425889,0.014216766,1.092988965,0.038615777,0,1,0,0,1,0.093,0.107216766,0.0548,0.162016766,-0.790440041,NA,NA,NA,0.511114092,NA,NA,NA,0.0354,0.0194,0,0.6617634,0.950125353,NA,NA,NA,0.3382366,0.620670974,NA,NA,NA,0.218495906,0.486387568,NA,NA,NA,0.119740694,0.35334244,NA,NA,NA,0.08949691
234,0.634,43.733,0.923,29.978,Blue2-3,Blue,22,2x,Low,0.236722973,7,NA,NA,NA,,,2x,38.1,0.0413,0.0156,1.64,0.0164,1.051282051,5.46,0.377723971,35.6,0.0428,0.0144,1.62,0.0162,1.125,5.67,0.336448598,NA,NA,NA,NA,NA,NA,NA,NA,0.015,36.85,1.566437492,0.357086285,0.640463279,0.009458718,1.088141026,0.036685185,0,0,0,0,0,0.0724,0.081858718,0.0439,0.125758718,-0.900461899,NA,NA,NA,0.536289855,NA,NA,NA,0.0181,0.0258,0,0.650918833,0.938707982,NA,NA,NA,0.349081167,0.632088345,NA,NA,NA,0.143926404,0.389122148,NA,NA,NA,0.205154763,0.470060396,NA,NA,NA,0.119276025
290,NA,NA,0.967,39.3,KB2-2,KB,2,2x,Control,0.76057873,16,0.555451195,0.0615,1.064,Y,2X,2x,44,0.0998,0.0339,3.29,0.0329,0.970501475,8.35,0.339679359,47.5,0.0964,0.0257,2.97,0.0297,1.155642023,7.91,0.26659751,48.8,0.1087,0.0313,3.36,0.0336,1.073482428,8.39,0.287948482,0.0303,46.76666667,1.669936416,0.298075117,0.577537586,0.022782675,1.066541975,0.027977952,0,0,0,0,0,0.135,0.157782675,0.1398,0.297582675,-0.526392357,NA,NA,NA,0.886028837,NA,NA,NA,0.0701,0.0697,0,0.530214587,0.81563117,NA,NA,NA,0.469785413,0.755165157,NA,NA,NA,0.235564789,0.506763631,NA,NA,NA,0.234220625,0.505178275,NA,NA,NA,0.101820444
315,NA,NA,1.009,37.976,Santa-3,Santa,3,2x,Control,0.735297371,12,NA,0.0648,0.794,Y,2X,2x,41.7,0.0611,0.0208,2.43,0.0243,1.168269231,6.92,0.340425532,40.5,0.0609,0.0201,2.37,0.0237,1.179104478,6.6,0.330049261,NA,NA,NA,NA,NA,NA,NA,NA,0.02045,41.1,1.613841822,0.335237397,0.617497839,NA,1.173686855,0.069552241,1,1,1,1,4,0.2335,0.2335,0.2059,0.4394,-0.357139947,NA,NA,NA,0.881798715,NA,NA,NA,0.134,0.0719,0,0.531406463,0.816825315,NA,NA,NA,0.468593537,0.753971011,NA,NA,NA,0.304961311,0.58504035,NA,NA,NA,0.163632226,0.416448227,NA,NA,NA,0.046540737
331,NA,NA,1.01,42.459,Santa4-2018,Santa,23,2x,Low,0.039743225,2,NA,NA,NA,,,2x,35.9,0.0371,0.0121,1.53,0.0153,1.26446281,5.35,0.326145553,33.2,0.0288,0.0091,1.2,0.012,1.318681319,4.65,0.315972222,NA,NA,NA,NA,NA,NA,NA,NA,0.0106,34.55,1.538448052,0.321058888,0.602398707,0.026811954,1.291572065,0.111118643,1,0,0,0,1,0.0633,0.090111954,0.0644,0.154511954,-0.811037915,NA,NA,NA,0.714666558,NA,NA,NA,0.0348,0.0296,0,0.583203769,0.868990804,NA,NA,NA,0.416796231,0.701805523,NA,NA,NA,0.225225292,0.494485754,NA,NA,NA,0.191570938,0.45302587,NA,NA,NA,0.068603106
279,0.658,44.102,1.014,35.582,CheneyA-2018,Cheney,7,2x,Control,0.961027624,19,NA,0.0805,1.094,Y,2X,2x,49.6,0.0966,0.0341,3.33,0.0333,0.976539589,7.88,0.35300207,48.7,0.0886,0.0305,3.16,0.0316,1.036065574,7.62,0.344243792,51.1,0.0778,0.0273,2.79,0.0279,1.021978022,7.39,0.350899743,0.030633333,49.8,1.697229343,0.349381868,0.632403726,0.017666634,1.011527728,0.004977792,1,1,1,1,4,0.1863,0.203966634,0.1488,0.352766634,-0.452512499,NA,NA,NA,0.729531086,NA,NA,NA,0.0816,0.0672,0,0.5781914,0.863911825,NA,NA,NA,0.4218086,0.706884501,NA,NA,NA,0.231314394,0.501739709,NA,NA,NA,0.190494206,0.45165638,NA,NA,NA,0.086837388
313,1.009,44.336,1.023,42.536,Santa-3,Santa,1,2x,Control,0.17556415,5,0.258829483,0.112,0.843,Y,2X,2x,49.7,0.0859,0.032,2.98,0.0298,0.93125,7.93,0.372526193,47.1,0.0821,0.0309,3.05,0.0305,0.987055016,8.11,0.37637028,NA,NA,NA,NA,NA,NA,NA,NA,0.03145,48.4,1.684845362,0.374448237,0.658488093,NA,0.959152508,-0.018112333,0,0,0,0,0,0.2552,0.2552,0.1895,0.4447,-0.351932871,NA,NA,NA,0.742554859,NA,NA,NA,0.0632,0.1263,0,0.573870025,0.859539591,NA,NA,NA,0.426129975,0.711256736,NA,NA,NA,0.142118282,0.38653981,NA,NA,NA,0.284011693,0.562056525,NA,NA,NA,0.070721835
