Accession,Population,Tray,Plant_ID,Treatment,rand_placement_within_tray,Placement,flow_fresh_tissue_weight,DNA_content,FLOW,Cytotype,leaf_1_chlorophyll,leaf_1_fresh_mass,leaf_1_dry_mass,leaf_1_area_cm,leaf_1_area_m,leaf_1_SLA,leaf_1_perimeter_cm,leaf_1_DMC,leaf_2_chlorophyll,leaf_2_fresh_mass,leaf_2_dry_mass,leaf_2_area_cm,leaf_2_area_m,leaf_2_SLA,leaf_2_perimeter,leaf_2_DMC,leaf_3_chlorophyll,leaf_3_fresh_mass,leaf_3_dry_mass,leaf_3_area,leaf_3_area_m,leaf_3_SLA,leaf_3_perimeter,leaf_3_DMC,avg_leaf_dry_mass,avg_chlorophyll,avg_DMC,est_flo_dry_leaf_weight,avg_SLA,leaf_curl,whorled_leaf,tick_stem,thick_leaf,Sum,aboveground_dry_mass,total_aboveground_biomass,belowground_dry_mass,total_biomass_g,root_to_shoot_raio,rhizome_weight,fine_roots_weight,Died,normalized_aboveground_mass,normalized_rhizome_mass,normalized_fine_roots_mass
Cheney2-2018,Cheney,8,400,C,0.368249585,8,0.0204,0.997,Y,Treated Diploid,57.4,0.1073,0.0448,3.42,0.0342,0.763392857,8.12,0.417520969,53.4,0.1213,0.0476,3.87,0.0387,0.81302521,8.39,0.392415499,NA,NA,NA,NA,NA,NA,NA,NA,0.0462,55.4,0.404968234,NA,0.788209034,0,0,1,0,1,0.203,0.203,0.1885,0.3915,0.928571429,0.1131,0.0754,0,0.518518519,0.288888889,0.192592593
Blue2-2018,Blue,31,755,C,NA,NA,0.0413,NA,,Treated Diploid,45.6,0.1667,0.0506,4.44,0.0444,0.877470356,8.64,0.303539292,48.1,0.1666,0.0541,4.32,0.0432,0.798521257,8.72,0.324729892,NA,NA,NA,NA,NA,NA,NA,NA,0.05235,46.85,0.314134592,NA,0.837995807,0,0,0,0,0,0.2129,0.2129,NA,NA,NA,NA,NA,0,NA,NA,NA
KB2-8,KB,2,74,C,0.759403058,15,0.0937,1.057,Y,Treated Diploid,54.9,0.0941,0.0337,2.96,0.0296,0.878338279,7.4,0.358129649,58.8,0.0885,0.0341,2.88,0.0288,0.84457478,7.13,0.385310734,60.4,0.1002,0.0382,3.13,0.0313,0.819371728,7.54,0.381237525,0.035333333,58.03333333,0.374892636,0.02210588,0.847428262,0,1,0,0,1,0.1883,0.21040588,0.1499,0.36030588,0.712432561,0.0644,0.0855,0,0.583964603,0.178737022,0.237298375
KB2-2,KB,1,289,C,0.210704791,6,0.1025,0.849,Y,Untreated Diploid,53.1,0.1101,0.0397,3.53,0.0353,0.889168766,7.91,0.36058129,54.6,0.1263,0.0456,3.75,0.0375,0.822368421,8.12,0.361045131,NA,NA,NA,NA,NA,NA,NA,NA,0.04265,53.85,0.360813211,NA,0.855768594,1,1,0,1,3,0.1631,0.1631,0.1453,0.3084,0.8908645,0.0934,0.0519,0,0.528858625,0.302853437,0.168287938
Cheney2-2018,Cheney,31,753,C,NA,NA,0.014,1.05,Y,Treated Diploid,51.1,0.1198,0.0479,4.24,0.0424,0.885177453,8.95,0.399833055,50.6,0.1071,0.0439,3.74,0.0374,0.851936219,8.7,0.409897292,NA,NA,NA,NA,NA,NA,NA,NA,0.0459,50.85,0.404865174,NA,0.868556836,1,1,0,1,3,0.2358,0.2358,0.1386,0.3744,0.58778626,0.066,0.0726,0,0.629807692,0.176282051,0.193910256
Santa4-2018,Santa,7,327,C,0.41572912,10,0.0865,0.854,Y,Untreated Diploid,44.1,0.0686,0.0238,2.54,0.0254,1.067226891,6.86,0.346938776,46.4,NA,0.0394,1.97,0.0197,0.5,5.72,NA,48.5,0.0618,0.0219,2.29,0.0229,1.0456621,6.49,0.354368932,0.028366667,46.33333333,0.350653854,0.046728947,0.870962997,1,1,1,1,4,0.1174,0.164128947,0.0946,0.258728947,0.576376086,0.0455,0.0491,0,0.634366386,0.175859719,0.189773895
Blue2-2018,Blue,2,170,C,0.324867548,9,0.0826,1.096,Y,Treated Diploid,50.2,0.0948,0.0371,3.21,0.0321,0.865229111,7.8,0.391350211,48.2,0.0832,0.0326,2.71,0.0271,0.831288344,6.92,0.391826923,49.9,0.1013,0.0361,3.4,0.034,0.941828255,7.7,0.356367226,0.035266667,49.43333333,0.37984812,0.01870895,0.87944857,0,1,1,0,2,0.1464,0.16510895,0.1863,0.35140895,1.128345859,0.1162,0.0701,0,0.469848449,0.330668869,0.199482682
Cheney4-2018,Cheney,7,135,C,0.471325881,12,0.0959,1.215,Y,Treated Diploid,44.1,0.1216,0.0463,4.46,0.0446,0.963282937,9.1,0.380756579,41.8,0.1146,0.0415,3.16,0.0316,0.761445783,7.62,0.362129145,38.8,0.0847,0.0329,3.19,0.0319,0.969604863,7.4,0.388429752,0.040233333,41.56666667,0.377105159,0.036983354,0.898111194,0,0,0,0,0,0.1325,0.169483354,0.1726,0.342083354,1.018389098,0.0596,0.113,0,0.49544461,0.174226542,0.330328847
Blue2-2,Blue,4,220,C,0.5116568,9,0.0426,1.129,Y,Untreated Diploid,46.5,0.094,0.0346,3.28,0.0328,0.947976879,8.47,0.368085106,49.9,0.1216,0.0454,3.91,0.0391,0.86123348,8.95,0.373355263,NA,NA,NA,NA,NA,NA,NA,NA,0.04,48.2,0.370720185,NA,0.90460518,0,0,0,0,0,0.3462,0.3462,0.1195,0.4657,0.345176199,0.0652,0.0543,0,0.743397037,0.140004295,0.116598669
Blue3-2018,Blue,8,160,C,0.933117634,20,0.0248,1.023,Y,Treated Diploid,52.7,0.0972,0.0404,3.62,0.0362,0.896039604,8.65,0.41563786,52.3,0.0973,0.0372,3.5,0.035,0.940860215,8.76,0.382322713,NA,NA,NA,NA,NA,NA,NA,NA,0.0388,52.5,0.398980287,NA,0.91844991,0,0,1,0,1,0.2485,0.2485,0.2121,0.4606,0.853521127,0.1205,0.0916,0,0.539513678,0.261615284,0.198871038
Santa14-2018,Santa,2,50,C,0.023496796,4,0.0563,1.309,Y,Treated Diploid,46.5,0.0825,0.0324,2.84,0.0284,0.87654321,7.36,0.392727273,49.1,0.0734,0.0272,2.62,0.0262,0.963235294,6.88,0.370572207,NA,NA,NA,NA,NA,NA,NA,NA,0.0298,47.8,0.38164974,NA,0.919889252,0,0,0,0,0,0.1984,0.1984,0.1382,0.3366,0.696572581,0.0774,0.0608,0,0.589423648,0.229946524,0.180629828
Blue2-2018,Blue,4,172,C,0.781474789,17,0.034,1.15,Y,Treated Diploid,51.1,0.0844,0.0323,2.92,0.0292,0.904024768,7.95,0.382701422,48.2,0.0764,0.029,2.72,0.0272,0.937931034,7.69,0.379581152,NA,NA,NA,NA,NA,NA,NA,NA,0.03065,49.65,0.381141287,NA,0.920977901,0,1,0,0,1,0.1815,0.1815,0.1194,0.3009,0.65785124,0.0608,0.0586,0,0.603190429,0.202060485,0.194749086
KB2-8,KB,4,76,C,0.892265716,18,0.0265,1.088,Y,Treated Diploid,49.5,0.0896,0.0364,3.21,0.0321,0.881868132,7.47,0.40625,50.4,0.0839,0.032,3.14,0.0314,0.98125,7.65,0.381406436,NA,NA,NA,NA,NA,NA,NA,NA,0.0342,49.95,0.393828218,NA,0.931559066,0,0,0,0,0,0.1819,0.1819,0.1261,0.308,0.693238043,0.0893,0.0368,0,0.590584416,0.289935065,0.119480519
Cheney2-2018,Cheney,8,256,C,0.428017812,10,0.0201,1.209,Y,Untreated Diploid,54.9,0.0599,0.0246,2.27,0.0227,0.922764228,6.56,0.410684474,56,0.0645,0.0254,2.39,0.0239,0.940944882,6.65,0.39379845,NA,NA,NA,NA,NA,NA,NA,NA,0.025,55.45,0.402241462,NA,0.931854555,0,1,0,0,1,0.1682,0.1682,0.1335,0.3017,0.793697979,0.0646,0.0689,0,0.557507458,0.214119987,0.228372556
Blue14-2018,Blue,8,352,C,0.282806632,5,0.0451,1.036,Y,Treated Diploid,47.2,0.1006,0.036,3.45,0.0345,0.958333333,8.61,0.357852883,52.9,0.107,0.0378,3.43,0.0343,0.907407407,8.09,0.353271028,NA,NA,NA,NA,NA,NA,NA,NA,0.0369,50.05,0.355561956,NA,0.93287037,0,0,0,0,0,0.2345,0.2345,0.2039,0.4384,0.869509595,0.1075,0.0964,0,0.534899635,0.245209854,0.219890511
Blue2-3,Blue,8,232,C,0.877100306,19,0.0282,0.98,Y,Untreated Diploid,49.1,0.0853,0.0325,3.04,0.0304,0.935384615,8.01,0.381008206,50.9,0.0893,0.0312,2.95,0.0295,0.945512821,7.6,0.349384099,NA,NA,NA,NA,NA,NA,NA,NA,0.03185,50,0.365196153,NA,0.940448718,1,1,1,1,4,0.2181,0.2181,0.147,0.3651,0.674002751,0.0744,0.0726,0,0.597370583,0.203779786,0.19884963
KB2-8,KB,20,80,L,0.826364154,17,NA,NA,,Treated Diploid,45.2,0.0315,0.0102,1,0.01,0.980392157,4.19,0.323809524,47.1,0.0345,0.0131,1.18,0.0118,0.900763359,4.76,0.379710145,NA,NA,NA,NA,NA,NA,NA,NA,0.01165,46.15,0.351759835,0.01883967,0.940577758,0,1,0,0,1,0.0344,0.05323967,0.0219,0.07513967,0.411347403,0.0114,0.0105,0,0.708542771,0.151717462,0.139739767
Santa11-2018,Santa,4,124,C,0.755894619,16,0.0321,1.044,Y,Treated Diploid,51.3,0.1022,0.0383,3.63,0.0363,0.947780679,7.85,0.374755382,46.9,0.1089,0.0394,3.69,0.0369,0.936548223,7.94,0.361799816,NA,NA,NA,NA,NA,NA,NA,NA,0.03885,49.1,0.368277599,NA,0.942164451,0,1,1,0,2,0.2108,0.2108,0.1048,0.3156,0.4971537,0.0525,0.0523,0,0.667934094,0.16634981,0.165716096
Cheney7-2018,Cheney,3,267,C,0.85744506,17,0.1041,NA,,Untreated Diploid,52.5,0.0753,0.0267,2.6,0.026,0.973782772,6.79,0.354581673,47.6,0.0943,0.0346,3.21,0.0321,0.927745665,7.48,0.366914104,NA,NA,NA,NA,NA,NA,NA,NA,0.03065,50.05,0.360747889,NA,0.950764219,0,1,1,1,3,0.093,0.093,0.1372,0.2302,1.475268817,0.085,0.0522,0,0.403996525,0.369244136,0.22675934
