Plant_ID,above_A630,above_mg.L,above_ashed_weight_g,above_ashed_weight_mg,above_decimal_percent_phosphorus,above_percent_phorphorus,below_A630,below_mg.L,below_ashed_weight_g,below_ashed_weight_mg,below_decimal_percent_phosphorus,below_percent_phorphorus,Accession,Population,Tray,Ploidy,Treatment,rand_placement_within_tray,Placement,randomized_tray_layout,flow_fresh_tissue_weight,DNA_content,FLOW,flow_ploidy,finalized_ploidy,leaf_1_chlorophyll,leaf_1_fresh_mass,leaf_1_dry_mass,leaf_1_area_cm,leaf_1_area_m,leaf_1_SLA,leaf_1_perimeter_cm,leaf_1_DMC,leaf_2_chlorophyll,leaf_2_fresh_mass,leaf_2_dry_mass,leaf_2_area_cm,leaf_2_area_m,leaf_2_SLA,leaf_2_perimeter,leaf_2_DMC,leaf_3_chlorophyll,leaf_3_fresh_mass,leaf_3_dry_mass,leaf_3_area,leaf_3_area_m,leaf_3_SLA,leaf_3_perimeter,leaf_3_DMC,avg_leaf_dry_mass,avg_chlorophyll,log_avg_chlorophyll,avg_DMC,arcsine_avg_DMC,est_flo_dry_leaf_weight,avg_SLA,log_avg_SLA,leaf_curl,whorled_leaf,tick_stem,thick_leaf,Sum,aboveground_dry_mass,total_aboveground_biomass,belowground_dry_mass,total_biomass_g,log_Total_biomass_g,total_biomass_avg_ploidy,total_biomass_SD_ploidy,total_biomass_N_ploidy,root_to_shoot_raio,rootshoot_avg_ploidy,rootshoot_SD_ploidy,rootshoot_N_ploidy,rhizome_weight,fine_roots_weight,Died,normalized_aboveground_mass,arcsine_normalized_aboveground_mass,normal_above_mass_avg_ploidy,normal_above_mass_SD_ploidy,normal_above_mass_N_ploidy,normalized_belowground_mass,arcsine_normal_beloground_mass,normal_below_mass_avg_ploidy,normal_below_mass_SD_ploidy,normal_below_mass_N_ploidy,normalized_rhizome_mass,arcsine_normal_rhizome_mass,normal_rhizome_mass_avg_ploidy,normal_rhizome_mass_SD_ploidy,normal_rhizome_mass_N_ploidy,normalized_fine_roots_mass,arcsine_normal_fine_root_mass,normal_fineroot_mass_avg_ploidy,normal_fineroot_mass_SD_ploidy,normal_fineroot_mass_N_ploidy,normalized_avg_leaf_dry_mass
233,NA,NA,NA,NA,NA,NA,-0.04,0.008264,0.0058,5.8,0.001424828,0.142482759,Blue2-3,Blue,21,2x,Low,0.486070727,8,NA,NA,NA,,,2x,NA,NA,NA,0.53,0.0053,NA,3.05,NA,NA,NA,0.0046,0.52,0.0052,1.130434783,3.03,NA,NA,NA,0.0044,NA,NA,NA,NA,NA,0.0045,NA,NA,NA,NA,NA,1.130434783,0.053245512,1,1,1,1,4,0.0181,0.0181,0.0126,0.0307,-1.512861625,NA,NA,NA,0.696132597,NA,NA,NA,0.0046,0.008,0,0.589576547,0.875460939,NA,NA,NA,0.410423453,0.695335388,NA,NA,NA,0.149837134,0.397471306,NA,NA,NA,0.260586319,0.535738909,NA,NA,NA,0.146579805
305,0.061,0.0593599,0.0216,21.6,0.002748144,0.274814352,0.017,0.0010107,0.0039,3.9,0.000259154,0.025915385,Santa-1,Santa,21,2x,Low,0.01855472,1,NA,NA,NA,,,2x,43.9,0.0412,0.0109,1.44,0.0144,1.321100917,5.08,0.264563107,43.7,0.0356,0.011,1.31,0.0131,1.190909091,4.87,0.308988764,NA,NA,NA,NA,NA,NA,NA,NA,0.01095,43.8,1.641474111,0.286775936,0.56511702,0.010478924,1.256005004,0.09899137,0,0,1,0,1,0.0424,0.052878924,0.021,0.073878924,-1.131479438,NA,NA,NA,0.397133648,NA,NA,NA,0.0051,0.0159,0,0.715751139,1.008476866,NA,NA,NA,0.284248861,0.562319461,NA,NA,NA,0.069031866,0.265860009,NA,NA,NA,0.215216995,0.482409286,NA,NA,NA,0.148215478
313,0.076,0.0669484,0.0262,26.2,0.002555282,0.255528244,0.344,0.158772,0.0169,16.9,0.009394793,0.93947929,Santa-3,Santa,1,2x,Control,0.17556415,5,0.258829483,0.112,0.843,Y,2X,2x,49.7,0.0859,0.032,2.98,0.0298,0.93125,7.93,0.372526193,47.1,0.0821,0.0309,3.05,0.0305,0.987055016,8.11,0.37637028,NA,NA,NA,NA,NA,NA,NA,NA,0.03145,48.4,1.684845362,0.374448237,0.658488093,NA,0.959152508,-0.018112333,0,0,0,0,0,0.2552,0.2552,0.1895,0.4447,-0.351932871,NA,NA,NA,0.742554859,NA,NA,NA,0.0632,0.1263,0,0.573870025,0.859539591,NA,NA,NA,0.426129975,0.711256736,NA,NA,NA,0.142118282,0.38653981,NA,NA,NA,0.284011693,0.562056525,NA,NA,NA,0.070721835
279,NA,NA,NA,NA,NA,NA,0.353,0.1630515,0.023,23,0.007089196,0.708919565,CheneyA-2018,Cheney,7,2x,Control,0.961027624,19,NA,0.0805,1.094,Y,2X,2x,49.6,0.0966,0.0341,3.33,0.0333,0.976539589,7.88,0.35300207,48.7,0.0886,0.0305,3.16,0.0316,1.036065574,7.62,0.344243792,51.1,0.0778,0.0273,2.79,0.0279,1.021978022,7.39,0.350899743,0.030633333,49.8,1.697229343,0.349381868,0.632403726,0.017666634,1.011527728,0.004977792,1,1,1,1,4,0.1863,0.203966634,0.1488,0.352766634,-0.452512499,NA,NA,NA,0.729531086,NA,NA,NA,0.0816,0.0672,0,0.5781914,0.863911825,NA,NA,NA,0.4218086,0.706884501,NA,NA,NA,0.231314394,0.501739709,NA,NA,NA,0.190494206,0.45165638,NA,NA,NA,0.086837388
260,NA,NA,NA,NA,NA,NA,0.376,0.1679488,0.0195,19.5,0.008612759,0.861275897,Cheney2-2018,Cheney,24,2x,Low,0.517681898,9,NA,NA,NA,,,2x,39.4,0.036,0.0144,1.59,0.0159,1.104166667,5.31,0.4,39.6,0.0313,0.0138,1.45,0.0145,1.050724638,5.13,0.440894569,NA,NA,NA,NA,NA,NA,NA,NA,0.0141,39.5,1.596597096,0.420447285,0.705505926,0.012854338,1.077445653,0.032395373,0,0,0,0,0,0.0743,0.087154338,0.0793,0.166454338,-0.778704882,NA,NA,NA,0.909880126,NA,NA,NA,0.0375,0.0418,0,0.523593071,0.808999998,NA,NA,NA,0.476406929,0.761796328,NA,NA,NA,0.225287009,0.494559622,NA,NA,NA,0.25111992,0.524890985,NA,NA,NA,0.084707916
207,0.108,0.0520364,0.0191,19.1,0.002724419,0.272441885,0.383,0.2222597,0.0264,26.4,0.008418928,0.841892803,Blue2-1,Blue,7,2x,Control,0.581663316,14,NA,0.0656,1.223,Y,2X,2x,47.4,0.0541,0.0176,2.01,0.0201,1.142045455,6.46,0.325323475,48.9,0.0664,0.0204,2.4,0.024,1.176470588,6.83,0.307228916,51.2,0.0638,0.02,2.33,0.0233,1.165,6.56,0.313479624,0.019333333,49.16666667,1.691670766,0.315344005,0.596263882,0.037553855,1.161172014,0.06489656,1,1,0,0,2,0.1204,0.157953855,0.0784,0.236353855,-0.62643731,NA,NA,NA,0.496347493,NA,NA,NA,0.0391,0.0393,0,0.668293965,0.957043687,NA,NA,NA,0.331706035,0.61375264,NA,NA,NA,0.165429923,0.418872597,NA,NA,NA,0.166276112,0.420010105,NA,NA,NA,0.081798255
231,0.325,0.1393025,0.0235,23.5,0.005927766,0.592776596,0.393,0.1804003,0.0158,15.8,0.011417741,1.141774051,Blue2-3,Blue,7,2x,Control,0.688917848,16,NA,0.0763,0.887,Y,2X,2x,51.2,0.0976,0.0297,3.49,0.0349,1.175084175,8.56,0.304303279,47.8,0.0866,0.026,3.18,0.0318,1.223076923,8.13,0.300230947,48.3,0.0986,0.0284,3.63,0.0363,1.278169014,8.73,0.288032454,0.028033333,49.1,1.691081492,0.297522227,0.576933058,0.038829158,1.225443371,0.088293247,1,1,1,1,4,0.1111,0.149929158,0.0662,0.216129158,-0.665286638,NA,NA,NA,0.441541865,NA,NA,NA,0.0288,0.0374,0,0.693701671,0.984304821,NA,NA,NA,0.306298329,0.586491506,NA,NA,NA,0.133253654,0.373674962,NA,NA,NA,0.173044675,0.429027227,NA,NA,NA,0.129706391
290,NA,NA,NA,NA,NA,NA,0.41,0.183633,0.0204,20.4,0.009001618,0.900161765,KB2-2,KB,2,2x,Control,0.76057873,16,0.555451195,0.0615,1.064,Y,2X,2x,44,0.0998,0.0339,3.29,0.0329,0.970501475,8.35,0.339679359,47.5,0.0964,0.0257,2.97,0.0297,1.155642023,7.91,0.26659751,48.8,0.1087,0.0313,3.36,0.0336,1.073482428,8.39,0.287948482,0.0303,46.76666667,1.669936416,0.298075117,0.577537586,0.022782675,1.066541975,0.027977952,0,0,0,0,0,0.135,0.157782675,0.1398,0.297582675,-0.526392357,NA,NA,NA,0.886028837,NA,NA,NA,0.0701,0.0697,0,0.530214587,0.81563117,NA,NA,NA,0.469785413,0.755165157,NA,NA,NA,0.235564789,0.506763631,NA,NA,NA,0.234220625,0.505178275,NA,NA,NA,0.101820444
254,0.17,0.066189,0.0231,23.1,0.002865325,0.286532468,0.453,0.2090263,0.017,17,0.012295665,1.229566471,Cheney2-2018,Cheney,6,2x,Control,0.574924942,11,NA,0.0129,1.128,Y,2X,2x,47,0.0672,0.0242,2.51,0.0251,1.037190083,6.61,0.360119048,47.3,0.0621,0.0205,2.35,0.0235,1.146341463,6.32,0.330112721,NA,NA,NA,NA,NA,NA,NA,NA,0.02235,47.15,1.673481697,0.345115885,0.627923532,NA,1.091765773,0.038129475,1,1,1,1,4,0.1536,0.1536,0.0801,0.2337,-0.631341288,NA,NA,NA,0.521484375,NA,NA,NA,0.0353,0.0448,0,0.657252888,0.945366146,NA,NA,NA,0.342747112,0.625430181,NA,NA,NA,0.151048353,0.399165299,NA,NA,NA,0.191698759,0.453188249,NA,NA,NA,0.09563543
217,0.122,0.0435474,0.0231,23.1,0.001885169,0.188516883,0.531,0.2476905,0.0196,19.6,0.01263727,1.263727041,Blue2-2,Blue,1,2x,Control,0.657331889,14,0.548286136,0.074,NA,,,2x,45.2,0.0999,0.035,3.53,0.0353,1.008571429,8.57,0.35035035,43.3,0.1081,0.0343,3.58,0.0358,1.043731778,8.12,0.317298797,NA,NA,NA,NA,NA,NA,NA,NA,0.03465,44.25,1.645913275,0.333824574,0.616000652,NA,1.026151604,0.011211528,0,1,0,0,1,0.2596,0.2596,0.1567,0.4163,-0.380593589,NA,NA,NA,0.603620955,NA,NA,NA,0.1007,0.056,0,0.623588758,0.910281313,NA,NA,NA,0.376411242,0.660515014,NA,NA,NA,0.241892866,0.514185753,NA,NA,NA,0.134518376,0.375531958,NA,NA,NA,0.083233245
202,NA,NA,NA,NA,NA,NA,0.596,0.278598,0.018,18,0.015477667,1.547766667,Blue1-3,Blue,10,2x,High,0.258035634,6,NA,0.0406,1.078,Y,2X,2x,52.9,0.2759,0.062,8.4,0.084,1.35483871,12.84,0.224719101,50.3,0.211,0.0462,6.43,0.0643,1.391774892,11.11,0.218957346,54.2,0.2677,0.0638,8.5,0.085,1.332288401,12.9,0.238326485,0.057333333,52.46666667,1.719883473,0.227334311,0.497005964,0.015429903,1.359634001,0.133422017,1,1,0,1,3,0.6684,0.683829903,0.2348,0.918629903,-0.036859422,NA,NA,NA,0.343360241,NA,NA,NA,0.0884,0.1464,0,0.744401963,1.040757263,NA,NA,NA,0.255598037,0.530039063,NA,NA,NA,0.096230266,0.315413959,NA,NA,NA,0.159367771,0.410653882,NA,NA,NA,0.062411786
