Plant_ID,above_A630,above_mg.L,above_ashed_weight_g,above_ashed_weight_mg,above_decimal_percent_phosphorus,asin_above_percent_P,above_percent_phorphorus,below_A630,below_mg.L,below_ashed_weight_g,below_ashed_weight_mg,below_decimal_percent_phosphorus,asin_below_percent_P,below_percent_phorphorus,Accession,Population,Tray,Treatment,Cytotype,avg_leaf_dry_mass,avg_chlorophyll,avg_DMC,avg_SLA,leaf_curl,whorled_leaf,tick_stem,thick_leaf,Sum,total_aboveground_biomass,belowground_dry_mass,total_biomass_g,root_to_shoot_raio,rhizome_weight,fine_roots_weight,Died,normalized_aboveground_mass,normalized_belowground_mass,normalized_rhizome_mass,normalized_fine_roots_mass,normalized_avg_leaf_dry_mass
217,0.122,0.0435474,0.0231,23.1,0.001885169,0.00188517,0.188516883,0.531,0.2476905,0.0196,19.6,0.01263727,0.012637606,1.263727041,Blue2-2,Blue,1,C,Diploid,0.03465,44.25,0.333824574,1.026151604,0,1,0,0,1,0.2596,0.1567,0.4163,0.603620955,0.1007,0.056,0,0.623588758,0.376411242,0.241892866,0.134518376,0.083233245
231,0.325,0.1393025,0.0235,23.5,0.005927766,0.005927801,0.592776596,0.393,0.1804003,0.0158,15.8,0.011417741,0.011417989,1.141774051,Blue2-3,Blue,7,C,Diploid,0.028033333,49.1,0.297522227,1.225443371,1,1,1,1,4,0.149929158,0.0662,0.216129158,0.441541865,0.0288,0.0374,0,0.693701671,0.306298329,0.133253654,0.173044675,0.129706391
207,0.108,0.0520364,0.0191,19.1,0.002724419,0.002724422,0.272441885,0.383,0.2222597,0.0264,26.4,0.008418928,0.008419027,0.841892803,Blue2-1,Blue,7,C,Diploid,0.019333333,49.16666667,0.315344005,1.161172014,1,1,0,0,2,0.157953855,0.0784,0.236353855,0.496347493,0.0391,0.0393,0,0.668293965,0.331706035,0.165429923,0.166276112,0.081798255
243,NA,NA,NA,NA,NA,NA,NA,0.366,0.1463186,0.0192,19.2,0.00762076,0.007620834,0.762076042,Blue6-2018,Blue,3,C,Diploid,0.019,39.25,0.295967857,1.276205931,0,1,0,0,1,0.121,0.137,0.258,1.132231405,0.0886,0.0484,0,0.468992248,0.531007752,0.343410853,0.187596899,0.073643411
266,0.149,0.0710317,0.021,21,0.003382462,0.003382468,0.33824619,NA,NA,NA,NA,NA,NA,NA,Cheney7-2018,Cheney,2,C,Diploid,0.025066667,44.46666667,0.369198274,1.125595238,0,0,0,0,0,0.18190563,0.1711,0.35300563,0.940597605,0.0962,0.0749,0,0.515305181,0.484694819,0.2725169,0.212177919,0.071009256
277,0.174,0.077937,0.0253,25.3,0.003080514,0.003080519,0.308051383,NA,NA,NA,NA,NA,NA,NA,CheneyA-2018,Cheney,5,C,Diploid,0.023233333,41.76666667,0.301792608,1.206706556,0,0,0,0,0,0.111686567,0.1071,0.218786567,0.958933584,0.0421,0.065,0,0.51048183,0.48951817,0.192424976,0.297093194,0.106191771
254,0.17,0.066189,0.0231,23.1,0.002865325,0.002865329,0.286532468,0.453,0.2090263,0.017,17,0.012295665,0.012295975,1.229566471,Cheney2-2018,Cheney,6,C,Diploid,0.02235,47.15,0.345115885,1.091765773,1,1,1,1,4,0.1536,0.0801,0.2337,0.521484375,0.0353,0.0448,0,0.657252888,0.342747112,0.151048353,0.191698759,0.09563543
278,NA,NA,NA,NA,NA,NA,NA,0.431,0.2127127,0.0223,22.3,0.009538686,0.009538831,0.95386861,CheneyA-2018,Cheney,6,C,Diploid,0.02545,47.3,0.363515989,1.08987326,0,0,0,0,0,0.1574,0.1205,0.2779,0.765565438,0.0571,0.0634,0,0.566390788,0.433609212,0.205469593,0.228139619,0.091579705
280,NA,NA,NA,NA,NA,NA,NA,0.614,0.2777382,0.0303,30.3,0.009166277,0.009166405,0.916627723,CheneyA-2018,Cheney,8,C,Diploid,0.02895,44.25,0.347063802,1.073262287,0,0,0,0,0,0.2067,0.1466,0.3533,0.709240445,0.0767,0.0699,0,0.585055194,0.414944806,0.217095952,0.197848854,0.081941693
279,NA,NA,NA,NA,NA,NA,NA,0.353,0.1630515,0.023,23,0.007089196,0.007089255,0.708919565,CheneyA-2018,Cheney,7,C,Diploid,0.030633333,49.8,0.349381868,1.011527728,1,1,1,1,4,0.203966634,0.1488,0.352766634,0.729531086,0.0816,0.0672,0,0.5781914,0.4218086,0.231314394,0.190494206,0.086837388
290,NA,NA,NA,NA,NA,NA,NA,0.41,0.183633,0.0204,20.4,0.009001618,0.00900174,0.900161765,KB2-2,Palouse,2,C,Diploid,0.0303,46.76666667,0.298075117,1.066541975,0,0,0,0,0,0.157782675,0.1398,0.297582675,0.886028837,0.0701,0.0697,0,0.530214587,0.469785413,0.235564789,0.234220625,0.101820444
291,NA,NA,NA,NA,NA,NA,NA,0.45,0.182195,0.0232,23.2,0.007853233,0.007853314,0.785323276,KB2-2,Palouse,3,C,Diploid,0.03555,39.05,0.352221656,0.995699691,0,1,0,0,1,0.1816,0.2095,0.3911,1.153634361,0.1432,0.0663,0,0.464331373,0.535668627,0.366146766,0.169521861,0.090897469
315,NA,NA,NA,NA,NA,NA,NA,0.887,0.4323679,0.0317,31.7,0.013639366,0.013639789,1.363936593,Santa-3,Santa,3,C,Diploid,0.02045,41.1,0.335237397,1.173686855,1,1,1,1,4,0.2335,0.2059,0.4394,0.881798715,0.134,0.0719,0,0.531406463,0.468593537,0.304961311,0.163632226,0.046540737
313,0.076,0.0669484,0.0262,26.2,0.002555282,0.002555285,0.255528244,0.421,0.2082114,0.0275,27.5,0.007571324,0.007571396,0.757132364,Santa-3,Santa,1,C,Diploid,0.03145,48.4,0.374448237,0.959152508,0,0,0,0,0,0.2552,0.1895,0.4447,0.742554859,0.0632,0.1263,0,0.573870025,0.426129975,0.142118282,0.284011693,0.070721835
214,0.398,0.1780974,0.0235,23.5,0.007578613,0.007578686,0.757861277,NA,NA,NA,NA,NA,NA,NA,Blue2-1,Blue,14,H,Diploid,0.051166667,47.95,0.254705148,1.360879444,0,0,0,0,0,0.831809643,0.2067,1.038509643,0.248494354,0.0883,0.1184,0,0.800964775,0.199035225,0.085025691,0.114009534,0.049269323
213,0.298,0.1400634,0.0181,18.1,0.007738309,0.007738386,0.773830939,1.5,0.68645,0.0314,31.4,0.021861465,0.021863207,2.186146497,Blue2-1,Blue,13,H,Diploid,0.0455,50.5,0.320231633,1.104894902,0,1,0,0,1,0.8123,0.2803,1.0926,0.345069556,0.1668,0.1135,0,0.743455977,0.256544023,0.152663372,0.103880652,0.041643785
227,0.237,0.1118021,0.0179,17.9,0.006245927,0.006245968,0.624592737,1.199,0.5653245,0.0311,31.1,0.018177637,0.018178638,1.817763666,Blue2-2,Blue,11,H,Diploid,0.054466667,48.4,0.275429169,1.088950354,1,1,0,0,2,0.875649802,0.3238,1.199449802,0.369782531,0.101,0.2228,0,0.730042892,0.269957108,0.084205275,0.185751834,0.045409709
249,0.427,0.1874159,0.0236,23.6,0.007941352,0.007941435,0.794135169,0.981,0.4616655,0.0298,29.8,0.015492131,0.015492751,1.549213087,Blue6-2018,Blue,9,H,Diploid,0.052533333,44.66666667,0.280781432,1.213434991,1,1,1,1,4,0.852782329,0.3178,1.170582329,0.372662506,0.1224,0.1954,0,0.728511193,0.271488807,0.104563342,0.166925465,0.044877948
202,NA,NA,NA,NA,NA,NA,NA,0.596,0.278598,0.018,18,0.015477667,0.015478285,1.547766667,Blue1-3,Blue,10,H,Diploid,0.057333333,52.46666667,0.227334311,1.359634001,1,1,0,1,3,0.683829903,0.2348,0.918629903,0.343360241,0.0884,0.1464,0,0.744401963,0.255598037,0.096230266,0.159367771,0.062411786
226,NA,NA,NA,NA,NA,NA,NA,0.857,0.4179169,0.0288,28.8,0.014511003,0.014511512,1.451100347,Blue2-2,Blue,10,H,Diploid,0.0715,55.5,0.316418958,0.975760081,0,0,0,0,0,0.685102496,0.198,0.883102496,0.289007851,0.1055,0.0925,0,0.775790465,0.224209535,0.119465182,0.104744353,0.080964554
251,0.357,0.1673981,0.0236,23.6,0.00709314,0.007093199,0.709313983,0.929,0.4369395,0.0333,33.3,0.013121306,0.013121683,1.312130631,Blue6-2018,Blue,11,H,Diploid,0.0441,51.73333333,0.275699127,1.178394674,1,1,0,0,2,0.766554675,0.4177,1.184254675,0.544905685,0.1875,0.2302,0,0.647288705,0.352711295,0.158327431,0.194383864,0.037238612
275,0.635,0.2855295,0.0276,27.6,0.010345272,0.010345457,1.034527174,NA,NA,NA,NA,NA,NA,NA,Cheney7-2018,Cheney,11,H,Diploid,0.0429,48.76666667,0.284505776,1.223515599,0,0,1,0,1,0.750952603,0.235,0.985952603,0.312935862,0.066,0.169,0,0.761651829,0.238348171,0.066940337,0.171407834,0.043511219
263,0.693,0.3247215,0.0251,25.1,0.012937112,0.012937473,1.293711155,1.147,0.5401337,0.0266,26.6,0.020305778,0.020307174,2.03057782,Cheney2-2018,Cheney,15,H,Diploid,0.026633333,47.1,0.253684474,1.389326119,0,1,1,0,2,0.589932743,0.2147,0.804632743,0.363939792,0.0819,0.1328,0,0.733170192,0.266829808,0.101785567,0.165044241,0.033099987
262,NA,NA,NA,NA,NA,NA,NA,0.86,0.419362,0.0264,26.4,0.015884924,0.015885592,1.588492424,Cheney2-2018,Cheney,14,H,Diploid,0.0436,44.55,0.306192577,1.336712137,0,0,1,0,1,0.735132394,0.2989,1.034032394,0.406593428,0.1245,0.1744,0,0.710937489,0.289062511,0.120402417,0.168660093,0.042165023
298,0.549,0.3062391,0.0282,28.2,0.010859543,0.010859756,1.085954255,1.317,0.6121661,0.0292,29.2,0.020964592,0.020966128,2.096459247,KB2-2,Palouse,10,H,Diploid,0.0336,50.2,0.253285519,1.375915489,0,0,0,0,0,0.552391684,0.2181,0.770491684,0.394828536,0.0645,0.1536,0,0.716933999,0.283066001,0.083712779,0.199353222,0.043608517
297,NA,NA,NA,NA,NA,NA,NA,0.702,0.2898242,0.0233,23.3,0.012438807,0.012439128,1.243880687,KB2-2,Palouse,9,H,Diploid,0.037133333,41.66666667,0.276982996,1.452466895,0,0,1,0,1,0.832204853,0.3777,1.209904853,0.453854599,0.184,0.1937,0,0.687826692,0.312173308,0.152078074,0.160095234,0.030691118
324,0.472,0.2086424,0.0269,26.9,0.007756223,0.007756301,0.775622305,NA,NA,NA,NA,NA,NA,NA,Santa-3,Santa,12,H,Diploid,0.038333333,49.33333333,0.302638524,1.288296256,0,1,0,0,1,0.758428237,0.4166,1.175028237,0.549293894,0.1731,0.2435,0,0.645455329,0.354544671,0.147315609,0.207229063,0.032623329
310,0.482,0.224391,0.0203,20.3,0.011053744,0.011053969,1.105374384,0.657,0.3063547,0.0178,17.8,0.017210938,0.017211788,1.72109382,Santa-1,Santa,14,H,Diploid,0.0251,45.8,0.221128467,1.675286284,0,0,0,0,0,0.585860155,0.1004,0.686260155,0.171371955,0.0207,0.0797,0,0.853699797,0.146300203,0.030163488,0.116136715,0.036575051
323,NA,NA,NA,NA,NA,NA,NA,0.94,0.457898,0.0288,28.8,0.015899236,0.015899906,1.589923611,Santa-3,Santa,11,H,Diploid,0.031066667,41.46666667,0.24567893,1.582644758,0,0,1,1,2,0.914105442,0.3784,1.292505442,0.413956621,0.1176,0.2608,0,0.707235275,0.292764725,0.090986077,0.201778648,0.024036005
198,0.116,0.0557428,0.0228,22.8,0.00244486,0.002444862,0.244485965,NA,NA,NA,NA,NA,NA,NA,Blue1-3,Blue,18,L,Diploid,0.0069,43.2,0.315019929,1.204371817,0,1,0,0,1,0.061261085,0.012,0.073261085,0.195882917,0.0029,0.0091,0,0.836202262,0.163797738,0.039584453,0.124213285,0.094183699
222,0.014,0.0355826,0.0193,19.3,0.001843658,0.001843659,0.184365803,NA,NA,NA,NA,NA,NA,NA,Blue2-2,Blue,18,L,Diploid,0.0151,40.6,0.297995213,1.244879452,0,0,0,0,0,0.098429798,0.0637,0.162129798,0.647161747,0.0391,0.0246,0,0.60710492,0.39289508,0.241164798,0.151730282,0.093135255
236,0.078,0.0381374,0.0157,15.7,0.002429134,0.002429136,0.242913376,NA,NA,NA,NA,NA,NA,NA,Blue2-3,Blue,24,L,Diploid,0.03425,44.1,NA,0.345893989,0,0,0,0,0,0.0511,0.0369,0.088,0.722113503,0.0214,0.0155,0,0.580681818,0.419318182,0.243181818,0.176136364,0.389204545
245,0.056,0.0279448,0.0158,15.8,0.001768658,0.001768659,0.176865823,NA,NA,NA,NA,NA,NA,NA,Blue6-2018,Blue,17,L,Diploid,0.00685,36.6,0.405363209,1.104797442,0,1,0,0,1,0.032429773,0.0355,0.067929773,1.094673096,0.0164,0.0191,0,0.477401463,0.522598537,0.241425803,0.281172734,0.100839436
235,NA,NA,NA,NA,NA,NA,NA,0.163,0.0596173,0.0125,12.5,0.004769384,0.004769402,0.4769384,Blue2-3,Blue,23,L,Diploid,0.01135,36.05,0.354323272,1.174021519,1,0,0,0,1,0.104960246,0.0573,0.162260246,0.545920977,0.0292,0.0281,0,0.646863595,0.353136405,0.179957819,0.173178586,0.069949358
233,NA,NA,NA,NA,NA,NA,NA,-0.04,0.008264,0.0058,5.8,0.001424828,0.001424828,0.142482759,Blue2-3,Blue,21,L,Diploid,0.0045,NA,NA,1.130434783,1,1,1,1,4,0.0181,0.0126,0.0307,0.696132597,0.0046,0.008,0,0.589576547,0.410423453,0.149837134,0.260586319,0.146579805
282,0.098,0.0474034,0.0187,18.7,0.002534941,0.002534944,0.253494118,NA,NA,NA,NA,NA,NA,NA,CheneyA-2018,Cheney,22,L,Diploid,0.0127,37.6,0.377875215,1.067212302,0,0,0,0,0,0.074405066,0.0782,0.152605066,1.051003705,0.0472,0.031,0,0.48756616,0.51243384,0.309295106,0.203138735,0.083221353
284,0.129,0.0617657,0.0201,20.1,0.00307292,0.003072925,0.30729204,NA,NA,NA,NA,NA,NA,NA,CheneyA-2018,Cheney,24,L,Diploid,0.0106,33.6,0.375344612,1.103322348,0,0,0,0,0,0.052445505,0.0462,0.098645505,0.880914389,0.0255,0.0207,0,0.531656308,0.468343692,0.258501388,0.209842304,0.107455479
260,NA,NA,NA,NA,NA,NA,NA,0.376,0.1679488,0.0195,19.5,0.008612759,0.008612865,0.861275897,Cheney2-2018,Cheney,24,L,Diploid,0.0141,39.5,0.420447285,1.077445653,0,0,0,0,0,0.087154338,0.0793,0.166454338,0.909880126,0.0375,0.0418,0,0.523593071,0.476406929,0.225287009,0.25111992,0.084707916
259,NA,NA,NA,NA,NA,NA,NA,0.119,0.0622246,0.011,11,0.005656782,0.005656812,0.565678182,Cheney2-2018,Cheney,23,L,Diploid,0.00785,40.3,0.340224167,1.198040185,1,1,1,1,4,0.058219862,0.0188,0.077019862,0.322913854,0.0078,0.011,0,0.755907119,0.244092881,0.101272578,0.142820303,0.101921761
271,0.028,0.0149724,0.0064,6.4,0.002339438,0.00233944,0.23394375,0.112,0.0378352,0.01,10,0.00378352,0.003783529,0.378352,Cheney7-2018,Cheney,19,L,Diploid,0.0085,37.3,0.337398374,1.363246088,0,0,1,1,2,0.045717544,0.0304,0.076117544,0.664952606,0.0123,0.0181,0,0.600617697,0.399382303,0.161592182,0.237790121,0.111669394
293,NA,NA,NA,NA,NA,NA,NA,0.088,0.0275848,0.0097,9.7,0.002843794,0.002843798,0.284379381,KB2-2,Palouse,17,L,Diploid,0.0087,38.05,0.327695312,1.329960345,0,0,0,0,0,0.041614348,0.0312,0.072814348,0.749741411,0.0181,0.0131,0,0.571513021,0.428486979,0.248577382,0.179909597,0.119481946
295,0.097,0.0469401,0.0172,17.2,0.002729076,0.002729079,0.272907558,0.048,0.0279032,0.0112,11.2,0.002491357,0.00249136,0.249135714,KB2-2,Palouse,19,L,Diploid,0.0108,41.7,0.29084058,1.284684066,1,0,1,1,3,0.068939477,0.0464,0.115339477,0.673054134,0.0214,0.025,0,0.597709291,0.402290709,0.185539249,0.21675146,0.093636631
