Plant_ID,tota_root_length_cm_1,total_surface_area_cm2_1,total_vol_cm3_1,average_diameter_mm_1,number_tips_1,number_forks_1,tips_per_length_1,tota_root_length_cm_2,total_surface_area_cm2_2,total_vol_cm3_2,average_diameter_mm_2,number_tips_2,number_forks_2,tips_per_length_2,avg_root_diamter_mm,avg_root_diamter_sd,avg_tips_per_mm,avg_tips_per_mm_SD,Accession,Population,Tray,Treatment,Cytotype,avg_leaf_dry_mass,avg_chlorophyll,avg_DMC,est_flo_dry_leaf_weight,avg_SLA,total_aboveground_biomass,belowground_dry_mass,total_biomass_g,root_to_shoot_raio,rhizome_weight,fine_roots_weight,Died,normalized_aboveground_mass,normalized_belowground_mass,normalized_rhizome_mass,normalized_fine_roots_mass,normalized_avg_leaf_dry_mass
248,17.253,1.129,0.006,0.208,42,58,2.434359242,20.42,1.454,0.008,0.227,61,84,2.987267385,0.2175,0.013435029,2.710813313,0.390965097,Blue6-2018,Blue,20,L,Diploid,0.01245,46.8,0.322540808,0.022252878,1.256870968,0.077752878,0.0555,0.133252878,0.713799944,0.029,0.0265,0,0.583498677,0.416501323,0.217631322,0.198870001,0.093431378
212,35.138,2.693,0.016,0.244,93,172,2.646707268,11.774,0.82,0.005,0.222,34,50,2.887718702,0.233,0.015556349,2.767212985,0.170420819,Blue2-1,Blue,24,L,Diploid,0.00965,39.4,0.335652237,0.015798357,1.12435567,0.060298357,0.0293,0.089598357,0.485917054,0.0149,0.0144,0,0.672985075,0.327014925,0.166297692,0.160717233,0.107702868
196,43.114,3.105,0.018,0.229,93,231,2.157071949,45.082,3.376,0.02,0.238,101,172,2.240362007,0.2335,0.006363961,2.198716978,0.058894965,Blue1-3,Blue,4,C,Diploid,0.0405,49.2,0.353716246,NA,0.978512936,0.2703,0.168,0.4383,0.621531632,0.0937,0.0743,0,0.61670089,0.38329911,0.213780516,0.169518595,0.092402464
308,56.339,4.062,0.023,0.23,113,376,2.005715401,45.175,3.379,0.02,0.238,118,281,2.612064195,0.234,0.005656854,2.308889798,0.428753344,Santa-1,Santa,24,L,Diploid,0.01075,37.8,0.351408694,0.025732528,1.189167975,0.070332528,0.1156,0.185932528,1.643620716,0.097,0.0186,0,0.378269089,0.621730911,0.521694622,0.100036288,0.057816672
292,34.765,2.629,0.016,0.241,66,143,1.898461096,18.774,1.501,0.01,0.254,41,78,2.183871311,0.2475,0.009192388,2.041166204,0.201815499,KB2-2,Palouse,4,C,Diploid,NA,NA,NA,NA,NA,0.3263,0.2793,0.6056,0.855960772,0.1387,0.1406,0,0.538804491,0.461195509,0.229029062,0.232166446,NA
266,66.338,4.776,0.027,0.229,182,515,2.743525581,65.579,5.628,0.038,0.273,165,558,2.516049345,0.251,0.031112698,2.629787463,0.160849989,Cheney7-2018,Cheney,2,C,Diploid,0.025066667,44.46666667,0.369198274,0.02290563,1.125595238,0.18190563,0.1711,0.35300563,0.940597605,0.0962,0.0749,0,0.515305181,0.484694819,0.2725169,0.212177919,0.071009256
244,61.208,4.608,0.028,0.24,134,300,2.189256306,50.451,4.286,0.029,0.27,125,236,2.477651583,0.255,0.021213203,2.333453945,0.203926256,Blue6-2018,Blue,4,C,Diploid,0.03475,44.8,0.380397033,NA,1.033082389,0.2117,0.1873,0.399,0.88474256,0.1077,0.0796,0,0.530576441,0.469423559,0.269924812,0.199498747,0.087092732
237,30.484,2.474,0.016,0.258,95,104,3.116388925,NA,NA,NA,NA,NA,NA,NA,0.258,NA,3.116388925,NA,Blue2-3,Blue,13,H,Diploid,0.04835,45.65,0.261563053,NA,1.128643823,0.556,0.1364,0.6924,0.245323741,0.0555,0.0809,0,0.803004044,0.196995956,0.080155979,0.116839977,0.069829578
198,18.586,1.6,0.011,0.274,50,101,2.690196922,28.854,2.366,0.015,0.261,56,238,1.940805434,0.2675,0.009192388,2.315501178,0.529899803,Blue1-3,Blue,18,L,Diploid,0.0069,43.2,0.315019929,0.028861085,1.204371817,0.061261085,0.012,0.073261085,0.195882917,0.0029,0.0091,0,0.836202262,0.163797738,0.039584453,0.124213285,0.094183699
222,24.756,2.299,0.017,0.296,42,149,1.69655841,26.968,2.046,0.012,0.241,53,188,1.965292198,0.2685,0.038890873,1.830925304,0.190023484,Blue2-2,Blue,18,L,Diploid,0.0151,40.6,0.297995213,0.011429798,1.244879452,0.098429798,0.0637,0.162129798,0.647161747,0.0391,0.0246,0,0.60710492,0.39289508,0.241164798,0.151730282,0.093135255
