Accession,Population,Tray,Ploidy,Plant_ID,Treatment,Cytotype,leaf_1_chlorophyll,leaf_1_fresh_mass,leaf_1_dry_mass,leaf_1_area_cm,leaf_1_area_m,leaf_1_SLA,leaf_1_perimeter_cm,leaf_1_DMC,leaf_2_chlorophyll,leaf_2_fresh_mass,leaf_2_dry_mass,leaf_2_area_cm,leaf_2_area_m,leaf_2_SLA,leaf_2_perimeter,leaf_2_DMC,leaf_3_chlorophyll,leaf_3_fresh_mass,leaf_3_dry_mass,leaf_3_area,leaf_3_area_m,leaf_3_SLA,leaf_3_perimeter,leaf_3_DMC,avg_leaf_area_cm,avg_leaf_dry_mass,avg_chlorophyll,log_avg_chlorophyll,avg_DMC,est_flo_dry_leaf_weight,avg_SLA,log_avg_SLA,leaf_curl,whorled_leaf,tick_stem,thick_leaf,Sum,aboveground_dry_mass,total_aboveground_biomass,belowground_dry_mass,total_biomass_g,log_Total_biomass_g,root_to_shoot_raio,rhizome_weight,fine_roots_weight,Died,Tissue,avg_percent
Blue2-1,Blue,5,2x,205,C,2x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,0,Aboveground,57.17595587
Blue2-1,Blue,5,2x,205,C,2x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,0,Fine Roots,19.5487569
Blue2-1,Blue,5,2x,205,C,2x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,0,Rhizome,23.27528724
Blue2-2,Blue,9,2x,225,H,2x,40.6,0.0749,0.0172,3.18,0.0318,NA,7.22,0.229639519,38.5,0.1156,0.0247,4.12,0.0412,NA,9.32,0.21366782,41,0.083,0.0176,3.5,0.035,NA,7.75,0.212048193,0.036,0.019833333,40.03333333,1.602421753,0.218451844,0.01351786,NA,0.263674705,0,0,1,0,1,0.7249,0.73841786,0.2151,0.95351786,-0.020671168,0.29129848,0.0536,0.1615,0,Aboveground,73.76668776
Blue2-2,Blue,9,2x,225,H,2x,40.6,0.0749,0.0172,3.18,0.0318,NA,7.22,0.229639519,38.5,0.1156,0.0247,4.12,0.0412,NA,9.32,0.21366782,41,0.083,0.0176,3.5,0.035,NA,7.75,0.212048193,0.036,0.019833333,40.03333333,1.602421753,0.218451844,0.01351786,NA,0.263674705,0,0,1,0,1,0.7249,0.73841786,0.2151,0.95351786,-0.020671168,0.29129848,0.0536,0.1615,0,Fine Roots,15.82754587
Blue2-2,Blue,9,2x,225,H,2x,40.6,0.0749,0.0172,3.18,0.0318,NA,7.22,0.229639519,38.5,0.1156,0.0247,4.12,0.0412,NA,9.32,0.21366782,41,0.083,0.0176,3.5,0.035,NA,7.75,0.212048193,0.036,0.019833333,40.03333333,1.602421753,0.218451844,0.01351786,NA,0.263674705,0,0,1,0,1,0.7249,0.73841786,0.2151,0.95351786,-0.020671168,0.29129848,0.0536,0.1615,0,Rhizome,10.40576638
Blue6-2018,Blue,18,2x,246,L,2x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0.0095,0.0095,0.0044,0.0139,-1.8569852,0.463157895,7.00E-04,0.0037,1,Aboveground,61.01710386
Blue6-2018,Blue,18,2x,246,L,2x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0.0095,0.0095,0.0044,0.0139,-1.8569852,0.463157895,7.00E-04,0.0037,1,Fine Roots,19.83410963
Blue6-2018,Blue,18,2x,246,L,2x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0.0095,0.0095,0.0044,0.0139,-1.8569852,0.463157895,7.00E-04,0.0037,1,Rhizome,19.1487865
Blue2-2,Blue,1,4x,361,C,Neo-4x,32.3,0.0154,0.0036,0.57,0.0057,1.583333333,3.13,0.233766234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0057,0.0036,32.3,1.509202522,0.233766234,NA,1.583333333,0.199572355,0,0,0,0,0,0.0093,0.0093,0.0052,0.0145,-1.838631998,0.559139785,1.00E-04,0.0051,0,Aboveground,64.21361097
Blue2-2,Blue,1,4x,361,C,Neo-4x,32.3,0.0154,0.0036,0.57,0.0057,1.583333333,3.13,0.233766234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0057,0.0036,32.3,1.509202522,0.233766234,NA,1.583333333,0.199572355,0,0,0,0,0,0.0093,0.0093,0.0052,0.0145,-1.838631998,0.559139785,1.00E-04,0.0051,0,Fine Roots,21.56126939
Blue2-2,Blue,1,4x,361,C,Neo-4x,32.3,0.0154,0.0036,0.57,0.0057,1.583333333,3.13,0.233766234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0057,0.0036,32.3,1.509202522,0.233766234,NA,1.583333333,0.199572355,0,0,0,0,0,0.0093,0.0093,0.0052,0.0145,-1.838631998,0.559139785,1.00E-04,0.0051,0,Rhizome,14.22511965
Blue3-2018,Blue,13,2x-G,165,H,Neo-4x,43.6,0.1514,0.0362,5.65,0.0565,NA,10.65,0.239101717,40.6,0.1693,0.0425,5.55,0.0555,NA,10.99,0.251033668,NA,NA,NA,NA,NA,NA,NA,NA,0.056,0.03935,42.1,1.624282096,0.245067693,NA,NA,0.15634556,0,1,0,1,2,0.8974,0.8974,0.379,1.2764,0.105986796,0.422331179,0.1923,0.1867,0,Aboveground,75.28674612
