Accession,Population,Tray,Ploidy,Plant_ID,Treatment,Cytotype,leaf_1_chlorophyll,leaf_1_fresh_mass,leaf_1_dry_mass,leaf_1_area_cm,leaf_1_area_m,leaf_1_SLA,leaf_1_perimeter_cm,leaf_1_DMC,leaf_2_chlorophyll,leaf_2_fresh_mass,leaf_2_dry_mass,leaf_2_area_cm,leaf_2_area_m,leaf_2_SLA,leaf_2_perimeter,leaf_2_DMC,leaf_3_chlorophyll,leaf_3_fresh_mass,leaf_3_dry_mass,leaf_3_area,leaf_3_area_m,leaf_3_SLA,leaf_3_perimeter,leaf_3_DMC,avg_leaf_area_cm,avg_leaf_dry_mass,avg_chlorophyll,log_avg_chlorophyll,avg_DMC,est_flo_dry_leaf_weight,avg_SLA,log_avg_SLA,leaf_curl,whorled_leaf,tick_stem,thick_leaf,Sum,aboveground_dry_mass,total_aboveground_biomass,belowground_dry_mass,total_biomass_g,log_Total_biomass_g,root_to_shoot_raio,rhizome_weight,fine_roots_weight,Died,normalized_aboveground_mass,normalized_belowground_mass,normalized_rhizome_mass,normalized_fine_roots_mass,normalized_avg_leaf_dry_mass
Blue2-1,Blue,5,2x,205,C,Diploid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
Blue2-2,Blue,2,2x,218,C,Diploid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
Blue6-2018,Blue,1,2x,241,C,Diploid,40.5,0.0491,0.0154,2.03,0.0203,1.318181818,6.24,0.313645621,41.3,0.0662,0.0184,2.52,0.0252,1.369565217,6.9,0.277945619,NA,NA,NA,NA,NA,NA,NA,NA,0.02275,0.0169,40.9,1.611723308,0.29579562,NA,1.343873518,0.128358396,0,0,1,0,1,0.1039,0.1039,0.1133,0.2172,-0.663140179,1.090471607,0.0707,0.0426,0,0.478360958,0.521639042,0.325506446,0.196132597,0.077808471
Blue1-3,Blue,1,2x,193,C,Diploid,52.2,0.0994,0.0279,3.62,0.0362,1.297491039,8.4,0.280684105,48.3,0.0786,0.0227,2.96,0.0296,1.303964758,7.48,0.288804071,NA,NA,NA,NA,NA,NA,NA,NA,0.0329,0.0253,50.25,1.701136066,0.284744088,NA,1.300727899,0.114186455,1,1,1,1,4,0.2254,0.2254,0.2273,0.4527,-0.344189506,1.008429459,0.141,0.0863,0,0.49790148,0.50209852,0.311464546,0.190633974,0.055886901
Blue6-2018,Blue,3,2x,243,C,Diploid,37.2,0.0643,0.0183,2.33,0.0233,1.273224044,6.58,0.284603421,41.3,0.0641,0.0197,2.52,0.0252,1.279187817,7.07,0.307332293,NA,NA,NA,NA,NA,NA,NA,NA,0.02425,0.019,39.25,1.593839661,0.295967857,NA,1.276205931,0.105920759,0,1,0,0,1,0.121,0.121,0.137,0.258,-0.588380294,1.132231405,0.0886,0.0484,0,0.468992248,0.531007752,0.343410853,0.187596899,0.073643411
Blue1-3,Blue,3,2x,195,C,Diploid,47.1,0.0596,0.0177,2.26,0.0226,1.276836158,6.47,0.296979866,40.5,0.0553,0.0173,2.18,0.0218,1.260115607,6.4,0.31283906,NA,NA,NA,NA,NA,NA,NA,NA,0.0222,0.0175,43.8,1.641474111,0.304909463,NA,1.268475883,0.103282215,1,1,1,1,4,0.0934,0.0934,0.0748,0.1682,-0.774174009,0.800856531,0.0537,0.0211,0,0.55529132,0.44470868,0.319262782,0.125445898,0.104042806
Blue2-3,Blue,7,2x,231,C,Diploid,51.2,0.0976,0.0297,3.49,0.0349,1.175084175,8.56,0.304303279,47.8,0.0866,0.026,3.18,0.0318,1.223076923,8.13,0.300230947,48.3,0.0986,0.0284,3.63,0.0363,1.278169014,8.73,0.288032454,0.034333333,0.028033333,49.1,1.691081492,0.297522227,0.038829158,1.225443371,0.088293247,1,1,1,1,4,0.1111,0.149929158,0.0662,0.216129158,-0.665286638,0.441541865,0.0288,0.0374,0,0.693701671,0.306298329,0.133253654,0.173044675,0.129706391
Blue6-2018,Blue,2,2x,242,C,Diploid,38.8,0.0634,0.0208,2.43,0.0243,1.168269231,6.99,0.32807571,39.1,0.0658,0.0207,2.49,0.0249,1.202898551,7.11,0.314589666,38.1,0.059,0.0202,2.44,0.0244,1.207920792,7.28,0.342372881,0.024533333,0.020566667,38.66666667,1.587336735,0.328346086,0.022700946,1.193029525,0.076651192,0,0,0,0,0,0.1026,0.125300946,0.2062,0.331500946,-0.479515228,1.645638015,0.1201,0.0861,0,NA,0.622019341,0.362291575,0.259727766,0.062041051
Blue2-1,Blue,7,2x,207,C,Diploid,47.4,0.0541,0.0176,2.01,0.0201,1.142045455,6.46,0.325323475,48.9,0.0664,0.0204,2.4,0.024,1.176470588,6.83,0.307228916,51.2,0.0638,0.02,2.33,0.0233,1.165,6.56,0.313479624,0.022466667,0.019333333,49.16666667,1.691670766,0.315344005,0.037553855,1.161172014,0.06489656,1,1,0,0,2,0.1204,0.157953855,0.0784,0.236353855,-0.62643731,0.496347493,0.0391,0.0393,0,0.668293965,0.331706035,0.165429923,0.166276112,0.081798255
Blue1-3,Blue,2,2x,194,C,Diploid,50.5,0.0668,0.0226,2.37,0.0237,1.048672566,6.59,0.338323353,52.3,0.0589,0.0202,2.21,0.0221,1.094059406,6.38,0.34295416,NA,NA,NA,NA,NA,NA,NA,NA,0.0229,0.0214,51.4,1.710963119,0.340638757,NA,1.071365986,0.029937854,0,0,0,0,0,0.0972,0.0972,0.1136,0.2108,-0.676129393,1.16872428,0.0635,0.0501,0,0.461100569,0.538899431,0.301233397,0.237666034,0.101518027
Blue2-1,Blue,8,2x,208,C,Diploid,50.2,0.0873,0.0289,3.13,0.0313,1.083044983,7.5,0.331042383,47.2,0.0855,0.0302,3.13,0.0313,1.036423841,7.66,0.353216374,NA,NA,NA,NA,NA,NA,NA,NA,0.0313,0.02955,48.7,1.687528961,0.342129379,NA,1.059734412,0.025197037,0,1,0,0,1,0.1997,0.1997,0.1055,0.3052,-0.515415471,0.528292439,0.0751,0.0304,0,0.654325033,0.345674967,0.246068152,0.099606815,0.096821756
Blue6-2018,Blue,4,2x,244,C,Diploid,45.1,0.0907,0.0344,3.55,0.0355,1.031976744,8.11,0.379272326,44.5,0.092,0.0351,3.63,0.0363,1.034188034,8.02,0.381521739,NA,NA,NA,NA,NA,NA,NA,NA,0.0359,0.03475,44.8,1.651278014,0.380397033,NA,1.033082389,0.014134958,1,1,1,1,4,0.2117,0.2117,0.1873,0.399,-0.399027104,0.88474256,0.1077,0.0796,0,0.530576441,0.469423559,0.269924812,0.199498747,0.087092732
Blue2-2,Blue,1,2x,217,C,Diploid,45.2,0.0999,0.035,3.53,0.0353,1.008571429,8.57,0.35035035,43.3,0.1081,0.0343,3.58,0.0358,1.043731778,8.12,0.317298797,NA,NA,NA,NA,NA,NA,NA,NA,0.03555,0.03465,44.25,1.645913275,0.333824574,NA,1.026151604,0.011211528,0,1,0,0,1,0.2596,0.2596,0.1567,0.4163,-0.380593589,0.603620955,0.1007,0.056,0,0.623588758,0.376411242,0.241892866,0.134518376,0.083233245
Blue2-3,Blue,5,2x,229,C,Diploid,52.5,0.0785,0.025,2.7,0.027,1.08,6.73,0.318471338,54.3,0.0772,0.0268,2.61,0.0261,0.973880597,6.83,0.347150259,52.5,0.0829,0.0274,2.77,0.0277,1.010948905,6.98,0.330518697,0.026933333,0.0264,53.1,1.725094521,0.332046765,0.029204101,1.021609834,0.009285065,0,1,0,0,1,0.1031,0.132304101,0.1026,0.234904101,-0.629109401,0.775486166,0.0533,0.0493,0,0.563226016,0.436773984,0.226901105,0.209872879,0.112386288
Blue2-2,Blue,3,2x,219,C,Diploid,53.1,0.0924,0.031,3.22,0.0322,1.038709677,7.66,0.335497835,50.6,0.0906,0.0324,3.2,0.032,0.987654321,7.88,0.357615894,NA,NA,NA,NA,NA,NA,NA,NA,0.0321,0.0317,51.85,1.714748761,0.346556865,NA,1.013181999,0.005687465,0,1,0,0,1,0.1516,0.1516,0.1043,0.2559,-0.591929714,0.687994723,0.0636,0.0407,0,0.592418914,0.407581086,0.248534584,0.159046503,0.123876514
